SCORING,GP,GS,MPG,PPG,PPS,HIGH
"14 Edwards, Carsen Edwards, C. PG",30,0,9.6,3.1,0.92,18
"15 Ojeleye, Semi Ojeleye, S. PF",46,4,15.2,3.1,1.24,11
"16 Langford, Romeo Langford, R. SG",14,0,8.4,2.3,1.33,8
"17 Poirier, Vincent Poirier, V. C",16,0,5.8,1.8,1.08,5
"1 Leonard, Kawhi Leonard, K. SF",37,37,32.2,27.5,1.33,43
"2 George, Paul George, P. SF",28,28,30.1,22.8,1.3,46
"3 Williams, Lou Williams, L. SG",46,6,30.0,19.7,1.27,34
"4 Harrell, Montrezl Harrell, M. PF",48,2,28.7,19.3,1.39,34
"5 Shamet, Landry Shamet, L. SG",32,23,28.4,10.1,1.3,22
"6 Beverley, Patrick Beverley, P. PG",38,38,28.2,8.4,1.16,20
"7 Zubac, Ivica Zubac, I. C",49,47,17.7,8.0,1.45,16
"8 Green, JaMychal Green, J. PF",40,0,21.0,6.6,1.17,23
"9 Harkless, Maurice Harkless, M. SF",48,36,22.8,5.4,1.24,15
"10 Patterson, Patrick Patterson, P. PF",44,17,13.0,4.9,1.23,20
"11 McGruder, Rodney McGruder, R. SG",37,3,17.1,3.5,1.0,20
"12 Robinson, Jerome Robinson, J. SG",41,1,11.6,3.0,0.9,21
"13 Kabengele, Mfiondu Kabengele, M. PF",10,0,4.4,2.9,1.32,10
"14 Coffey, Amir Coffey, A. PG",2,0,2.5,2.5,1.67,5
"15 Walton, Derrick Walton, D. PG",23,1,9.7,2.2,1.39,10
"16 Mann, Terance Mann, T. SG",30,6,8.1,1.8,1.08,13
"17 Motley, Johnathan Motley, J. PF",8,0,2.3,1.4,1.83,4
"1 Jackson, Jaren Jackson, J. PF",47,47,28.0,17.7,1.32,43
"2 Morant, Ja Morant, J. PG",43,43,29.8,17.5,1.3,30
"3 Brooks, Dillon Brooks, D. SG",49,49,28.3,16.1,1.18,31
"4 Valanciunas, Jonas Valanciunas, J. C",46,46,25.7,15.0,1.4,32
"5 Clarke, Brandon Clarke, B. SF",42,2,21.7,12.2,1.49,27
"6 Crowder, Jae Crowder, J. SF",44,44,29.5,10.1,1.12,27
"7 Melton, De'Anthony Melton, D. PG",36,0,17.9,8.1,1.3,17
"8 Jackson, Josh Jackson, J. SF",2,0,17.0,8.0,1.07,13
"9 Allen, Grayson Allen, G. SG",30,0,16.6,7.4,1.26,15
"10 Jones, Tyus Jones, T. PG",49,6,18.9,6.4,1.08,15
"11 Hill, Solomon Hill, S. SF",47,3,18.9,5.8,1.18,22
"12 Anderson, Kyle Anderson, K. SF",43,5,17.3,5.1,1.17,14
