SCORING,GP,GS,MPG,PPG,PPS,HIGH
"6 Morris, Markieff Morris, M. PF",42,16,22.5,11.0,1.25,23
"7 Galloway, Langston Galloway, L. PG",51,6,25.5,10.1,1.26,32
"8 Wood, Christian Wood, C. PF",47,1,17.3,10.1,1.65,28
"9 Mykhailiuk, Svi Mykhailiuk, S. SG",46,18,22.2,8.9,1.31,25
"10 Brown, Bruce Brown, B. SG",48,36,27.1,8.8,1.19,22
"11 Snell, Tony Snell, T. SG",44,42,26.7,8.1,1.28,24
"12 Doumbouya, Sekou Doumbouya, S. SF",23,15,19.9,7.2,1.19,24
"13 Maker, Thon Maker, T. PF",46,7,11.4,4.1,1.64,15
"14 Frazier, Tim Frazier, T. PG",27,11,13.1,3.6,1.03,17
"15 King, Louis King, L. SF",8,0,6.3,2.1,1.00,5
"16 Bone, Jordan Bone, J. PG",6,0,3.2,0.7,0.44,4
"17 Thomas, Khyri Thomas, K. SG",2,0,3.0,0.5,-,1
"1 Siakam, Pascal Siakam, P. PF",39,39,34.8,23.7,1.24,44
"2 Lowry, Kyle Lowry, K. PG",39,39,36.6,19.4,1.37,36
"3 VanVleet, Fred VanVleet, F. PG",40,40,35.9,17.8,1.22,34
"4 Ibaka, Serge Ibaka, S. PF",40,17,26.4,15.5,1.28,26
"5 Powell, Norman Powell, N. SG",38,17,28.2,15.3,1.38,33
"6 Anunoby, OG Anunoby, O. SF",49,48,29.0,10.3,1.22,24
"7 Gasol, Marc Gasol, M. C",35,35,27.8,7.8,1.18,20
"8 Davis, Terence Davis, T. SG",50,1,16.8,7.7,1.32,31
"9 Hollis-Jefferson, Rondae Hollis-Jefferson, R. SF",38,2,19.7,7.6,1.27,18
"10 Boucher, Chris Boucher, C. PF",42,0,13.2,6.4,1.33,24
"11 McCaw, Patrick McCaw, P. SG",26,11,25.0,5.3,1.13,18
"12 Thomas, Matt Thomas, M. SG",21,0,10.6,4.5,1.36,10
"13 Ponds, Shamorie Ponds, S. PG",4,0,2.8,2.3,1.80,5
"14 Brissett, Oshae Brissett, O. SF",16,0,7.5,2.0,1.00,12
"15 Johnson, Stanley Johnson, S. SF",17,0,4.9,1.2,0.75,6
"16 Hernandez, Dewan Hernandez, D. PF",4,0,2.8,1.0,0.80,2
"17 Miller, Malcolm Miller, M. SF",22,1,5.3,0.9,0.95,13
"18 Watson, Paul Watson, P. SG",2,0,2.5,0.5,-,1
"1 Harden, James Harden, J. SG",46,46,37.1,35.7,1.51,60
"2 Westbrook, Russell Westbrook, R. PG",42,42,35.9,26.4,1.18,45
"3 Gordon, Eric Gordon, E. SG",25,9,30.1,15.7,1.16,50
"4 Capela, Clint Capela, C. C",39,39,32.8,13.9,1.4,30
"5 House, Danuel House, D. SF",43,32,30.5,10.3,1.22,23
"6 McLemore, Ben McLemore, B. SG",49,17,23.5,10.3,1.29,28
"7 Rivers, Austin Rivers, A. SG",45,4,23.6,8.6,1.16,21
"8 Tucker, P.J. Tucker, P. SF",49,49,35.1,7.3,1.23,22
"9 Clemons, Chris Clemons, C. PG",26,0,8.9,5.2,1.15,19
"10 Hartenstein, Isaiah Hartenstein, I. C",20,2,12.4,5.1,1.67,19
"11 Clark, Gary Clark, G. PF",18,0,11.8,3.9,1.19,12
"12 Anderson, Ryan Anderson, R. PF",2,0,7.0,2.5,0.71,3
"13 Sefolosha, Thabo Sefolosha, T. SF",33,0,10.5,2.3,1.04,9
"14 Frazier, Michael Frazier, M. SG",5,0,8.0,2.2,1.22,6
"15 Chandler, Tyson Chandler, T. C",25,5,8.8,1.4,1.89,10
"1 DeRozan, DeMar DeRozan, D. SG",48,48,34.4,23.1,1.45,38
"2 Aldridge, LaMarcus Aldridge, L. C",44,44,33.0,18.9,1.3,40
"3 Mills, Patty Mills, P. PG",48,1,23.3,11.8,1.27,31
"4 Forbes, Bryn Forbes, B. PG",48,47,25.4,11.0,1.14,25
"5 Gay, Rudy Gay, R. SF",45,5,21.6,10.1,1.22,22
"6 Murray, Dejounte Murray, D. PG",44,36,24.2,10.1,1.17,19
"7 White, Derrick White, D. PG",46,11,23.8,10.0,1.34,25
"8 Walker, Lonnie Walker, L. SG",40,1,12.9,5.8,1.16,28
"9 Belinelli, Marco Belinelli, M. SG",43,0,15.3,5.7,1.07,17
"10 Poeltl, Jakob Poeltl, J. C",48,9,17.6,5.5,1.41,17
"11 Lyles, Trey Lyles, T. PF",48,38,17.5,4.8,1.07,17
"12 Eubanks, Drew Eubanks, D. PF",7,0,5.4,3.0,1.5,9
"13 Metu, Chimezie Metu, C. PF",14,0,4.3,2.7,1.36,7
"14 Carroll, DeMarre Carroll, D. SF",15,0,9.0,2.2,1.14,6
"15 Johnson, Keldon Johnson, K. SF",3,0,3.0,1.3,0.8,2
"1 Booker, Devin Booker, D. SG",46,46,36.0,27.2,1.5,44
"2 Oubre, Kelly Oubre, K. SF",47,47,34.2,18.5,1.27,30
"3 Ayton, Deandre Ayton, D. C",19,14,32.6,17.9,1.18,31
"4 Rubio, Ricky Rubio, R. PG",41,41,32.0,12.7,1.13,25
"5 Baynes, Aron Baynes, A. C",33,25,22.9,11.5,1.27,24
"6 Kaminsky, Frank Kaminsky, F. C",32,13,22.4,11.0,1.26,24
"7 Saric, Dario Saric, D. PF",48,43,24.8,9.6,1.18,23
"8 Johnson, Cameron Johnson, C. SF",38,0,19.8,7.8,1.22,18
"9 Bridges, Mikal Bridges, M. SF",49,8,24.6,7.4,1.35,26
"10 Johnson, Tyler Johnson, T. SG",31,3,16.6,5.7,1.04,14
"11 Diallo, Cheick Diallo, C. PF",32,0,9.5,4.4,1.57,22
"12 Okobo, Elie Okobo, E. PG",39,3,12.5,4.2,1.2,17
"13 Jerome, Ty Jerome, T. SG",18,0,11.8,4.1,1.0,15
"14 Carter, Jevon Carter, J. PG",34,2,13.8,4.0,1.1,15
"15 Lecque, Jalen Lecque, J. PG",2,0,6.5,2.0,1.0,4
"15 Owens, Tariq Owens, T. SF",1,0,7.0,2.0,0.5,2
"17 Harper, Jared Harper, J. PG",2,0,2.0,0.0,0.0,0
"1 Gilgeous-Alexander, Shai Gilgeous-Alexander, S. PG",50,50,35.5,19.4,1.27,32
"2 Gallinari, Danilo Gallinari, D. SF",42,42,30.6,19.2,1.43,30
"3 Schroder, Dennis Schroder, D. PG",49,1,31.1,19.1,1.26,31
"4 Paul, Chris Paul, C. PG",49,49,31.6,17.1,1.37,30
"5 Adams, Steven Adams, S. C",44,44,26.7,10.8,1.45,24
"6 Noel, Nerlens Noel, N. C",41,6,19.1,8.3,1.71,15
"7 Diallo, Hamidou Diallo, H. SG",30,2,19.5,6.6,1.05,12
"8 Dort, Luguentz Dort, L. SG",15,7,21.2,6.3,1.23,23
"9 Nader, Abdel Nader, A. SF",34,5,15.7,5.9,1.3,23
"10 Ferguson, Terrance Ferguson, T. SG",36,36,26.0,5.1,1.1,19
"11 Muscala, Mike Muscala, M. PF",35,0,12.8,4.7,1.16,17
"12 Bazley, Darius Bazley, D. SF",50,8,17.5,4.5,1.03,17
"13 Burton, Deonte Burton, D. SG",30,0,8.5,2.7,0.87,13
"14 Patton, Justin Patton, J. C",5,0,4.8,1.8,0.9,4
"15 Hall, Devon Hall, D. SG",5,0,4.0,1.0,1.0,3
"16 Hervey, Kevin Hervey, K. SF",6,0,2.2,0.0,0.0,0
"16 Roby, Isaiah Roby, I. SF",1,0,2.0,0.0,0.0,0
"1 Towns, Karl-Anthony Towns, K. C",31,31,33.5,27.0,1.49,40
"2 Wiggins, Andrew Wiggins, A. SF",40,40,34.6,22.7,1.19,40
"3 Teague, Jeff Teague, J. PG",34,13,27.8,13.2,1.38,32
"4 Covington, Robert Covington, R. SF",47,46,29.4,12.8,1.25,24
"5 Layman, Jake Layman, J. SF",14,2,26.4,10.5,1.11,21
"6 Napier, Shabazz Napier, S. PG",35,21,23.7,9.4,1.22,24
"7 Culver, Jarrett Culver, J. SG",47,33,24.7,9.3,0.98,26
"8 Okogie, Josh Okogie, J. SG",46,13,24.1,8.1,1.25,18
"9 Dieng, Gorgui Dieng, G. C",44,17,17.2,7.5,1.22,22
"10 Bates-Diop, Keita Bates-Diop, K. SF",36,0,17.8,7.0,1.22,22
"11 Reid, Naz Reid, N. C",15,0,10.5,6.4,1.05,20
"12 Martin, Kelan Martin, K. SF",19,3,17.2,5.6,0.91,17
"13 Graham, Treveon Graham, T. SG",33,20,20.1,5.2,0.98,13
"14 McLaughlin, Jordan McLaughlin, J. PG",14,0,17.4,5.0,1.01,19
"15 Nowell, Jaylen Nowell, J. SG",7,0,11.6,4.4,1.0,12
"16 Vonleh, Noah Vonleh, N. PF",29,1,12.0,4.1,1.38,9
"17 Crabbe, Allen Crabbe, A. SG",4,0,15.8,4.0,0.89,20
"18 Bell, Jordan Bell, J. PF",26,0,8.7,3.1,1.37,12
"1 Lillard, Damian Lillard, D. PG",48,48,37.1,29.8,1.47,61
"2 McCollum, CJ McCollum, C. SG",46,46,35.7,21.4,1.13,37
"3 Whiteside, Hassan Whiteside, H. C",46,46,30.8,16.0,1.48,33
"4 Anthony, Carmelo Anthony, C. SF",34,34,32.5,15.8,1.12,28
"5 Ariza, Trevor Ariza, T. SF",5,5,34.2,11.4,1.33,21
"6 Hood, Rodney Hood, R. SG",21,21,29.5,11.0,1.34,25
"7 Collins, Zach Collins, Z. PF",3,3,28.7,9.0,1.42,10
"8 Simons, Anfernee Simons, A. SG",50,4,22.6,8.9,1.07,20
"9 Bazemore, Kent Bazemore, K. SG",43,21,25.8,7.9,1.04,19
"10 Trent, Gary Trent, G. SG",37,2,16.5,5.9,1.13,30
"11 Labissiere, Skal Labissiere, S. PF",33,1,17.2,5.8,1.29,22
"12 Hezonja, Mario Hezonja, M. SF",35,4,16.5,4.4,1.1,11
"13 Tolliver, Anthony Tolliver, A. PF",33,9,16.8,3.9,1.1,16
"14 Little, Nassir Little, N. SF",38,5,12.5,3.8,1.16,12
"15 Hoard, Jaylen Hoard, J. SF",12,0,7.8,2.7,1.1,8
"16 Swanigan, Caleb Swanigan, C. PF",5,0,14.0,2.6,1.3,5
"17 Brown, Moses Brown, M. C",7,0,3.3,1.4,1.11,4
"18 Gabriel, Wenyen Gabriel, W. PF",2,1,7.5,0.0,0.0,8
"1 Russell, D'Angelo Russell, D. PG",32,32,32.1,23.8,1.24,52
"2 Curry, Stephen Curry, S. PG",4,4,28.0,20.3,1.23,26
"3 Burks, Alec Burks, A. SG",47,18,29.0,15.8,1.27,33
"4 Paschall, Eric Paschall, E. PF",45,22,26.8,13.5,1.29,34
"5 Robinson, Glenn Robinson, G. SF",47,47,31.6,12.7,1.21,25
"6 Lee, Damion Lee, D. SG",34,21,27.7,11.7,1.2,23
"7 Green, Draymond Green, D. PF",37,37,29.1,8.4,1.09,20
"8 Cauley-Stein, Willie Cauley-Stein, W. C",41,37,22.9,7.9,1.26,17
"9 Chriss, Marquese Chriss, M. PF",45,7,18.2,7.8,1.37,17
"10 Spellman, Omari Spellman, O. PF",47,3,18.0,7.8,1.27,23
"11 Bowman, Ky Bowman, K. PG",37,10,22.4,7.3,1.03,24
"12 Poole, Jordan Poole, J. SG",43,9,21.1,7.3,0.88,21
"13 Smailagic, Alen Smailagic, A. PF",9,0,10.2,4.7,1.45,10
"14 Evans, Jacob Evans, J. SG",25,0,14.6,4.5,0.97,14
"15 Looney, Kevon Looney, K. PF",11,3,10.6,2.5,0.82,7
"1 Beal, Bradley Beal, B. SG",41,41,35.5,28.8,1.34,47
"2 Bertans, Davis Bertans, D. PF",39,4,29.3,14.9,1.34,32
"3 Hachimura, Rui Hachimura, R. SF",25,25,29.2,13.9,1.15,30
"4 Bryant, Thomas Bryant, T. C",28,23,25.3,12.9,1.43,23
"5 McRae, Jordan McRae, J. SG",29,4,22.6,12.8,1.17,35
"6 Thomas, Isaiah Thomas, I. PG",39,36,23.1,12.3,1.15,23
"7 Wagner, Moritz Wagner, M. PF",21,4,20.4,11.6,1.53,30
"8 Smith, Ish Smith, I. PG",48,12,26.3,11.0,1.09,32
"9 Brown, Troy Brown, T. SF",45,14,26.2,10.6,1.19,26
"10 Mahinmi, Ian Mahinmi, I. C",28,25,22.4,8.1,1.38,25
"11 Pasecniks, Anzejs Pasecniks, A. C",19,0,19.5,7.3,1.36,17
"12 Miles, C.J. Miles, C. SG",10,0,16.1,6.4,1.08,21
"13 Mathews, Garrison Mathews, G. SG",15,0,13.1,6.2,1.86,28
"14 Payton II, Gary Payton II, G. SG",20,16,19.6,5.1,0.97,15
"15 Bonga, Isaac Bonga, I. PG",43,29,17.8,4.7,1.49,17
"16 Williams, Johnathan Williams, J. PF",10,5,13.4,3.5,1.4,12
"17 Schofield, Admiral Schofield, A. SF",26,2,11.2,3.2,1.11,18
"18 Chiozza, Chris Chiozza, C. PG",10,0,12.3,2.7,0.79,8
"19 Robinson, Justin Robinson, J. PG",9,0,5.4,1.4,1.08,5
